ASEs,City,Ispra_Start,Ispra_End,Pilot_Study_LocationID,Pilot_Study_Start,Pilot_Study_End,First_Col_LocationID,First_Col_Start,First_Col_End,Deployment_LocationID,Deployment_Start,Deployment_End,Second_Col_LocationID,Second_Col_Start,Second_Col_End
4047E7,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T08:26:00Z,2020-06-15T07:10:00Z,ANT_URB_PEST,2020-06-15T08:54:00Z,2021-02-25T11:59:00Z,ANT_REF_R801,2021-02-26T07:46:00Z,2021-04-15T23:59:00Z
4065D0,Antwerp,2020-01-17T11:58:00Z,2020-01-30T14:10:00Z,ANT_REF_R804,2020-02-19T12:58:00Z,2020-03-26T11:07:00Z,ANT_REF_R801,2020-03-26T12:18:00Z,2020-06-15T07:06:00Z,ANT_URB_LANG,2020-06-15T09:46:00Z,2021-02-25T12:15:00Z,ANT_REF_R801,2021-02-26T07:53:00Z,2021-04-13T09:02:00Z
4047E0,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T10:36:00Z,2020-06-15T07:15:00Z,ANT_TRA_POTH,2020-06-15T10:32:00Z,2021-02-25T12:29:00Z,ANT_REF_R801,2021-02-26T07:28:00Z,2021-04-13T08:01:00Z
406249,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T09:35:00Z,2020-06-15T07:23:00Z,ANT_TRA_HAVE,2020-06-15T11:58:00Z,2021-02-24T07:58:00Z,ANT_REF_R801,2021-02-24T12:40:00Z,2021-04-13T08:02:00Z
4065E3,Antwerp,2020-01-17T11:58:00Z,2020-01-30T14:10:00Z,ANT_REF_R802,2020-02-19T11:12:00Z,2020-03-26T09:26:00Z,ANT_REF_R801,2020-03-26T09:45:00Z,2020-06-15T07:24:00Z,ANT_TRA_HALE,2020-06-15T13:32:00Z,2021-02-24T08:47:00Z,ANT_REF_R801,2021-02-24T12:38:00Z,2021-04-13T10:14:00Z
4065DD,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T12:03:00Z,2020-06-15T14:08:00Z,ANT_TRA_GROT,2020-06-16T05:04:00Z,2021-02-24T10:44:00Z,ANT_REF_R801,2021-02-24T12:06:00Z,2021-04-13T08:02:00Z
4065D3,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T12:29:00Z,2020-06-15T14:07:00Z,ANT_URB_GROT,2020-06-16T09:08:00Z,2021-02-24T10:27:00Z,ANT_REF_R801,2021-02-26T11:31:00Z,2021-04-13T08:01:00Z
408168,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T13:35:00Z,2020-06-15T14:01:00Z,ANT_URB_PARK,2020-06-29T10:20:00Z,2021-02-26T08:28:00Z,ANT_REF_R801,2021-02-26T10:54:00Z,2021-04-13T09:02:00Z
4047CD,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T11:43:00Z,2020-06-15T14:18:00Z,ANT_URB_BEGI,2020-06-16T11:29:00Z,2021-02-18T08:20:00Z,ANT_REF_R801,2021-02-18T10:56:00Z,2021-04-15T23:59:00Z
408178,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T08:08:00Z,2020-06-16T13:55:00Z,ANT_TRA_AMER,2020-06-17T07:33:00Z,2021-02-24T11:26:00Z,ANT_REF_R801,2021-02-24T12:31:00Z,2021-04-13T09:01:00Z
4065E0,Antwerp,2020-01-17T11:56:00Z,2020-01-30T15:27:00Z,VITO,2020-03-03T15:40:00Z,2020-03-26T07:17:00Z,ANT_REF_R801,2020-03-26T10:44:00Z,2020-06-16T13:44:00Z,ANT_URB_BOEL,2020-06-17T08:44:00Z,2021-02-25T09:55:00Z,ANT_REF_R801,2021-02-25T10:57:00Z,2021-04-13T09:05:00Z
4047DD,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T09:11:00Z,2020-06-15T07:31:00Z,ANT_URB_WITT,2020-06-17T10:00:00Z,2021-02-18T09:28:00Z,ANT_REF_R801,2021-02-18T11:28:00Z,2021-04-13T08:02:00Z
40641B,Antwerp,2020-01-17T11:59:00Z,2020-01-30T14:10:00Z,ANT_REF_R801,2020-02-19T11:50:00Z,2020-03-26T09:45:00Z,ANT_REF_R801,2020-03-26T09:45:00Z,2020-06-16T13:40:00Z,ANT_TRA_SING,2020-06-17T10:51:00Z,2021-02-25T09:15:00Z,ANT_REF_R801,2021-02-25T10:55:00Z,2021-04-13T09:56:00Z
402B00,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T11:12:00Z,2020-06-16T13:48:00Z,ANT_URB_BRED,2020-06-17T12:16:00Z,2021-02-26T09:31:00Z,ANT_REF_R801,2021-02-26T10:47:00Z,2021-04-13T07:01:00Z
4067BD,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T09:34:00Z,2020-06-17T06:51:00Z,ANT_REF_R803,2020-06-17T08:53:00Z,2021-02-17T08:31:00Z,ANT_REF_R801,2021-02-17T10:57:00Z,2021-04-13T09:00:00Z
40642B,Antwerp,,,"",,,ANT_REF_R801,2020-04-03T09:23:00Z,2020-06-17T06:58:00Z,ANT_REF_R811,2020-06-17T11:48:00Z,2021-02-17T07:18:00Z,ANT_REF_R801,2021-02-17T11:24:00Z,2021-04-15T23:59:00Z
402723,Antwerp,,,"",,,ANT_REF_R801,2020-04-03T08:02:00Z,2020-06-17T07:29:00Z,ANT_URB_MAER,2020-06-17T09:40:00Z,2021-02-17T08:53:00Z,ANT_REF_R801,2021-02-17T11:46:00Z,2021-04-15T23:59:00Z
406424,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T10:02:00Z,2020-06-17T13:46:00Z,ANT_URB_TURK,2020-06-18T07:13:00Z,2021-02-24T10:01:00Z,ANT_REF_R801,2021-02-24T12:24:00Z,2021-04-13T08:02:00Z
4067B0,Antwerp,,,"",,,ANT_REF_R801,2020-04-03T07:43:00Z,2020-06-17T12:54:00Z,ANT_TRA_DESG,2020-06-18T07:47:00Z,2021-02-26T08:59:00Z,ANT_REF_R801,2021-02-26T11:04:00Z,2021-04-13T09:02:00Z
408165,Antwerp,,,"",,,ANT_REF_R801,2020-04-02T12:33:00Z,2020-06-17T13:34:00Z,ANT_URB_VINC,2020-06-18T08:43:00Z,2021-02-18T08:59:00Z,ANT_REF_R801,2021-02-18T10:44:00Z,2021-04-15T23:59:00Z
