ID;Organisation;Typology;Representativity_min;Representativity_max;PM10;PM2.5
NL10107;RIVM;Regional background;5000;25000;-999;-999
NL10131;RIVM;Regional background;5000;25000;20;13
NL10133;RIVM;Regional background;5000;25000;29;-999
NL10230;RIVM;Regional background;5000;25000;22;12
NL10235;RIVM;Regional background;5000;25000;18;-999
NL10246;RIVM;Regional background;5000;25000;21;-999
NL10301;RIVM;Regional background;5000;25000;-999;-999
NL10318;RIVM;Regional background;5000;25000;22;-999
NL10437;RIVM;Regional background;5000;25000;15;-999
NL10444;RIVM;Regional background;5000;25000;16;9
NL10538;RIVM;Regional background;5000;25000;13;6
NL10617;RIVM;Regional background;5000;25000;18;-999
NL10633;RIVM;Regional background;5000;25000;16;-999
NL10644;RIVM;Regional background;5000;25000;21;9
NL10722;RIVM;Regional background;5000;25000;19;-999
NL10738;RIVM;Regional background;5000;25000;23;10
NL10807;RIVM;Regional background;5000;25000;22;-999
NL10818;RIVM;Regional background;5000;25000;20;-999
NL10918;RIVM;Regional background;5000;25000;15;-999
NL10929;RIVM;Regional background;5000;25000;16;-999
NL10934;RIVM;Regional background;5000;25000;15;8
NL49556;GGDAdam;Regional background;5000;25000;14;-999
NL49565;GGDAdam;Regional background;5000;25000;16;-999
NL49703;GGDAdam;Regional background;5000;25000;17;9
NL50006;RUDZL;Regional background;5000;25000;24;13
NL01485;DCMR;Urban background;100;2000;26;-999
NL01488;DCMR;Urban background;100;2000;22;7
NL01494;DCMR;Urban background;100;2000;21;10
NL01495;DCMR;Urban background;100;2000;15;10
NL10138;RIVM;Urban background;100;2000;28;13
NL10241;RIVM;Urban background;100;2000;19;7
NL10247;RIVM;Urban background;100;2000;27;13
NL10404;RIVM;Urban background;100;2000;20;8
NL10418;RIVM;Urban background;100;2000;19;7
NL10442;RIVM;Urban background;100;2000;22;-999
NL10446;RIVM;Urban background;100;2000;18;-999
NL10643;RIVM;Urban background;100;2000;-999;10
NL10742;RIVM;Urban background;100;2000;-999;14
NL10821;RIVM;Urban background;100;2000;-999;9
NL10938;RIVM;Urban background;100;2000;-999;9
NL49003;GGDAdam;Urban background;100;2000;-999;-999
NL49014;GGDAdam;Urban background;100;2000;23;10
NL49016;GGDAdam;Urban background;100;2000;25;12
NL49019;GGDAdam;Urban background;100;2000;-999;-999
NL49021;GGDAdam;Urban background;100;2000;-999;-999
NL49022;GGDAdam;Urban background;100;2000;-999;-999
NL49561;GGDAdam;Urban background;100;2000;19;10
NL49570;GGDAdam;Urban background;100;2000;19;9
NL49701;GGDAdam;Urban background;100;2000;18;10
NL50007;RUDZL;Urban background;100;2000;-999;15
NL01487;DCMR;Traffic;10;50;25;10
NL01489;DCMR;Traffic;10;50;23;7
NL01491;DCMR;Traffic;10;50;20;11
NL01493;DCMR;Traffic;10;50;23;-999
NL10136;RIVM;Traffic;10;50;30;14
NL10236;RIVM;Traffic;10;50;26;-999
NL10237;RIVM;Traffic;10;50;26;-999
NL10240;RIVM;Traffic;10;50;20;11
NL10445;RIVM;Traffic;10;50;21;-999
NL10448;RIVM;Traffic;10;50;-999;9
NL10545;RIVM;Traffic;10;50;-999;-999
NL10550;RIVM;Traffic;10;50;21;-999
NL10636;RIVM;Traffic;10;50;18;12
NL10639;RIVM;Traffic;10;50;21;-999
NL10641;RIVM;Traffic;10;50;20;11
NL10741;RIVM;Traffic;10;50;35;11
NL10937;RIVM;Traffic;10;50;19;6
NL49007;GGDAdam;Traffic;10;50;23;12
NL49012;GGDAdam;Traffic;10;50;26;8
NL49017;GGDAdam;Traffic;10;50;23;9
NL49020;GGDAdam;Traffic;10;50;23;-999
NL50004;RUDZL;Traffic;10;50;34;18
NL50009;RUDZL;Traffic;10;50;-999;16
NL54004;ODRA;Traffic;10;50;-999;-999
NL54010;ODRA;Traffic;10;50;27;-999
NL01496;DCMR;Industrial setting;100;5000;20;8
NL49546;GGDAdam;Industrial setting;100;5000;23;-999
NL49551;GGDAdam;Industrial setting;100;5000;25;12
NL49553;GGDAdam;Industrial setting;100;5000;18;7
NL49572;GGDAdam;Industrial setting;100;5000;20;8
NL49573;GGDAdam;Industrial setting;100;5000;17;7
NL49704;GGDAdam;Industrial setting;100;5000;18;9
NL50003;RUDZL;Industrial setting;100;5000;29;15
